epoch,acc,loss,lr,val_acc,val_loss
0,0.9324728846549988,0.19535568356513977,1e-04,0.9262558817863464,0.2105555236339569
1,0.9592413902282715,0.10663935542106628,1e-04,0.9482705593109131,0.14235642552375793
2,0.9669743776321411,0.08080288022756577,1e-04,0.9483064413070679,0.14078131318092346
3,0.9700722694396973,0.07004682719707489,1e-04,0.9545884132385254,0.11883432418107986
4,0.9730626344680786,0.06162489950656891,1e-04,0.9503005146980286,0.1314525008201599
5,0.9746293425559998,0.056951846927404404,1e-04,0.9586440920829773,0.11001033335924149
6,0.9764112234115601,0.05143607407808304,1e-04,0.9579916596412659,0.11204519122838974
7,0.9779039025306702,0.047170963138341904,1e-04,0.9618488550186157,0.0982036143541336
8,0.9780012369155884,0.04716825485229492,1e-04,0.9572254419326782,0.1300888955593109
9,0.9798122644424438,0.0429612435400486,1e-04,0.9548164010047913,0.14437197148799896
